year,state,votes,party
2000,TX,137994,OTHER
2000,TX,23160,LIB
2000,TX,12394,OTHER
2000,TX,704,OTHER
2004,TX,4526917,REP
2004,TX,2832704,DEM
2004,TX,38787,LIB
2004,TX,12341,OTHER
2008,TX,4479328,REP
2008,TX,3528633,DEM
2008,TX,56116,LIB
2008,TX,7967,OTHER
2008,TX,5751,OTHER
2012,TX,4569843,REP
2012,TX,3308124,DEM
2012,TX,88580,LIB
2012,TX,24657,OTHER
2012,TX,2647,OTHER
2016,TX,4685047,REP
2016,TX,3877868,DEM
2016,TX,283492,LIB
2016,TX,71558,OTHER
2016,TX,51261,OTHER
2020,TX,5890347,REP
2020,TX,5259126,DEM
2020,TX,126243,LIB
2020,TX,33396,OTHER
2020,TX,2012,OTHER
2020,TX,2785,OTHER
2020,TX,205,OTHER
2020,TX,49,OTHER
2020,TX,337,OTHER
2020,TX,350,OTHER
2020,TX,36,OTHER
2020,TX,56,OTHER
2020,TX,114,OTHER
1976,UT,337908,REP
1976,UT,182110,DEM
1976,UT,13304,OTHER
1976,UT,3907,OTHER
1976,UT,2438,OTHER
1976,UT,1162,OTHER
1976,UT,268,OTHER
1976,UT,121,OTHER
1980,UT,439687,REP
1980,UT,124266,DEM
1980,UT,30284,OTHER
1980,UT,7156,LIB
1980,UT,1009,OTHER
1980,UT,965,OTHER
1980,UT,522,OTHER
1980,UT,139,OTHER
1980,UT,124,OTHER
1984,UT,469105,REP
1984,UT,155369,DEM
1984,UT,2447,LIB
1984,UT,1345,OTHER
1984,UT,844,OTHER
1984,UT,220,OTHER
1984,UT,184,OTHER
1984,UT,142,OTHER
1988,UT,428442,REP
1988,UT,207343,DEM
1988,UT,7473,LIB
1988,UT,2158,OTHER
1988,UT,455,OTHER
1988,UT,427,OTHER
1988,UT,372,OTHER
1988,UT,209,OTHER
1988,UT,129,OTHER
1992,UT,322632,REP
1992,UT,203400,OTHER
1992,UT,183429,DEM
1992,UT,28602,OTHER
1992,UT,1900,LIB
1992,UT,1319,OTHER
1992,UT,1089,OTHER
1992,UT,414,OTHER
1992,UT,393,OTHER
1992,UT,292,OTHER
1992,UT,200,OTHER
1992,UT,177,OTHER
1992,UT,151,OTHER
1996,UT,361911,REP
1996,UT,221633,DEM
1996,UT,66461,OTHER
1996,UT,4615,OTHER
1996,UT,4129,LIB
1996,UT,2601,OTHER
1996,UT,1290,OTHER
1996,UT,1101,OTHER
1996,UT,1085,OTHER
1996,UT,298,OTHER
1996,UT,235,OTHER
1996,UT,159,OTHER
1996,UT,111,OTHER
2000,UT,515096,REP
2000,UT,203053,DEM
2000,UT,35850,OTHER
2000,UT,9319,OTHER
2000,UT,3616,LIB
2000,UT,2709,OTHER
2000,UT,763,OTHER
2000,UT,186,OTHER
2000,UT,161,OTHER
2000,UT,1,OTHER
2004,UT,663742,REP
2004,UT,241199,DEM
2004,UT,11305,OTHER
2004,UT,6841,OTHER
2004,UT,3375,LIB
2004,UT,946,OTHER
2004,UT,393,OTHER
2004,UT,43,OTHER
2008,UT,596030,REP
2008,UT,327670,DEM
2008,UT,12012,OTHER
2008,UT,8416,OTHER
2008,UT,6966,LIB
2008,UT,982,OTHER
2008,UT,262,OTHER
2008,UT,32,OTHER
2012,UT,740600,REP
2012,UT,251813,DEM
2012,UT,12572,LIB
2012,UT,5335,OTHER
2012,UT,3817,OTHER
2012,UT,2871,OTHER
2012,UT,393,OTHER
2012,UT,39,OTHER
2016,UT,515211,REP
2016,UT,310674,DEM
2016,UT,255060,OTHER
2016,UT,39608,LIB
2016,UT,8032,OTHER
2016,UT,2732,OTHER
2020,UT,2623,OTHER
2020,UT,7213,OTHER
2020,UT,560282,DEM
2020,UT,5551,OTHER
2020,UT,38447,LIB
2020,UT,2229,OTHER
2020,UT,5053,OTHER
2020,UT,1139,OTHER
2020,UT,865140,REP
2020,UT,368,OTHER
2020,UT,51,OTHER
2020,UT,186,OTHER
2020,UT,1,OTHER
2020,UT,6,OTHER
1976,VA,836554,REP
1976,VA,813896,DEM
1976,VA,17802,OTHER
1976,VA,16686,OTHER
1976,VA,7508,OTHER
1976,VA,4648,LIB
1980,VA,989609,REP
1980,VA,752174,DEM
1980,VA,95418,OTHER
1980,VA,14024,OTHER
1980,VA,12821,LIB
1980,VA,1986,OTHER
1984,VA,1337078,REP
1984,VA,796250,DEM
1984,VA,13307,OTHER
1988,VA,1309162,REP
1988,VA,859799,DEM
1988,VA,14312,OTHER
1988,VA,8336,LIB
1992,VA,1150517,REP
1992,VA,1038650,DEM
1992,VA,348639,OTHER
1992,VA,15129,OTHER
1992,VA,5730,LIB
1992,VA,464,OTHER
1996,VA,1138350,REP
1996,VA,1091060,DEM
1996,VA,159861,OTHER
1996,VA,13687,OTHER
1996,VA,9174,LIB
1996,VA,4510,OTHER
2000,VA,1437490,REP
2000,VA,1217290,DEM
2000,VA,59398,OTHER
2000,VA,15198,LIB
2000,VA,5455,OTHER
2000,VA,2807,OTHER
2000,VA,1809,OTHER
2004,VA,1716959,REP
2004,VA,1454742,DEM
2004,VA,11032,LIB
2004,VA,10161,OTHER
2004,VA,2521,OTHER
2008,VA,1959532,DEM
2008,VA,1725005,REP
2008,VA,11483,OTHER
2008,VA,11067,LIB
2008,VA,7474,OTHER
2008,VA,6355,OTHER
2008,VA,2344,OTHER
2012,VA,1971820,DEM
2012,VA,1822522,REP
2012,VA,31216,LIB
2012,VA,13058,OTHER
2012,VA,8627,OTHER
2012,VA,7246,OTHER
2016,VA,1981473,DEM
2016,VA,1769443,REP
2016,VA,118274,LIB
2016,VA,54054,OTHER
2016,VA,31870,OTHER
2016,VA,27638,OTHER
2020,VA,2413568,DEM
2020,VA,1962430,REP
2020,VA,64761,LIB
2020,VA,19765,OTHER
1976,VT,100387,REP
1976,VT,77798,DEM
1976,VT,4001,OTHER
1976,VT,1090,OTHER
1976,VT,430,OTHER
1976,VT,196,OTHER
1980,VT,94628,REP
1980,VT,81952,DEM
1980,VT,31761,OTHER
1980,VT,2316,OTHER
1980,VT,1900,LIB
1980,VT,413,OTHER
1980,VT,136,OTHER
1980,VT,118,OTHER
1980,VT,75,OTHER
1984,VT,135865,REP
1984,VT,95730,DEM
1984,VT,1002,LIB
1984,VT,712,OTHER
1984,VT,423,OTHER
1984,VT,323,OTHER
1984,VT,264,OTHER
1984,VT,127,OTHER
1984,VT,115,OTHER
1988,VT,124331,REP
1988,VT,115775,DEM
1988,VT,1134,OTHER
1988,VT,1000,LIB
1988,VT,275,OTHER
1988,VT,205,OTHER
1988,VT,189,OTHER
1988,VT,164,OTHER
1988,VT,142,OTHER
1988,VT,113,OTHER
1992,VT,133592,DEM
1992,VT,88122,REP
1992,VT,65991,OTHER
1992,VT,501,LIB
1992,VT,488,OTHER
1992,VT,329,OTHER
1992,VT,315,OTHER
1992,VT,124,OTHER
1992,VT,100,OTHER
1992,VT,82,OTHER
1992,VT,57,OTHER
1996,VT,137894,DEM
1996,VT,80352,REP
1996,VT,31024,OTHER
1996,VT,5585,OTHER
1996,VT,1183,LIB
1996,VT,560,OTHER
1996,VT,498,OTHER
1996,VT,480,OTHER
1996,VT,382,OTHER
1996,VT,292,OTHER
1996,VT,199,OTHER
2000,VT,149022,DEM
2000,VT,119775,REP
2000,VT,20374,OTHER
2000,VT,2192,OTHER
2000,VT,1044,OTHER
2000,VT,784,LIB
2000,VT,514,OTHER
2000,VT,219,OTHER
2000,VT,161,OTHER
2000,VT,153,OTHER
2000,VT,70,OTHER
2004,VT,184067,DEM
2004,VT,121180,REP
2004,VT,4494,OTHER
2004,VT,1102,LIB
2004,VT,957,OTHER
2004,VT,265,OTHER
2004,VT,244,OTHER
2008,VT,219262,DEM
2008,VT,98974,REP
2008,VT,3339,OTHER
2008,VT,1464,OTHER
2008,VT,1067,LIB
2008,VT,500,OTHER
2008,VT,150,OTHER
2008,VT,149,OTHER
2008,VT,141,OTHER
2012,VT,199239,DEM
2012,VT,92698,REP
2012,VT,3487,LIB
2012,VT,2043,OTHER
2012,VT,1128,OTHER
2012,VT,695,OTHER
2016,VT,178573,DEM
2016,VT,95369,REP
2016,VT,22899,OTHER
2016,VT,10078,LIB
2016,VT,6758,OTHER
2016,VT,4574,OTHER
2016,VT,1063,OTHER
2016,VT,826,OTHER
2016,VT,327,OTHER
2020,VT,242820,DEM
2020,VT,112704,REP
2020,VT,3608,LIB
2020,VT,1310,OTHER
2020,VT,1269,OTHER
2020,VT,1175,OTHER
2020,VT,856,OTHER
2020,VT,213,OTHER
2020,VT,209,OTHER
2020,VT,208,OTHER
2020,VT,195,OTHER
2020,VT,166,OTHER
2020,VT,141,OTHER
2020,VT,137,OTHER
2020,VT,126,OTHER
2020,VT,100,OTHER
2020,VT,65,OTHER
2020,VT,54,OTHER
2020,VT,53,OTHER
2020,VT,48,OTHER
2020,VT,1942,OTHER
2020,VT,278,OTHER
2020,VT,3262,OTHER
2020,VT,29,OTHER
1976,WA,777732,REP
1976,WA,717323,DEM
1976,WA,36986,OTHER
1976,WA,8585,OTHER
1976,WA,5482,OTHER
1976,WA,5042,LIB
1976,WA,1046,OTHER
1976,WA,905,OTHER
1976,WA,903,OTHER
1976,WA,817,OTHER
1976,WA,713,OTHER
1980,WA,865244,REP
1980,WA,650193,DEM
1980,WA,185073,OTHER
1980,WA,29213,LIB
1980,WA,9403,OTHER
1980,WA,1137,OTHER
1980,WA,956,OTHER
1980,WA,834,OTHER
1980,WA,341,OTHER
1984,WA,1051670,REP
1984,WA,798352,DEM
1984,WA,8844,LIB
1984,WA,5724,OTHER
1984,WA,4712,OTHER
1984,WA,1891,OTHER
1984,WA,1654,OTHER
1984,WA,814,OTHER
1984,WA,641,OTHER
1984,WA,608,OTHER
1988,WA,933516,DEM
1988,WA,903835,REP
1988,WA,17240,LIB
1988,WA,4412,OTHER
1988,WA,3520,OTHER
1988,WA,1440,OTHER
1988,WA,1290,OTHER
1992,WA,993037,DEM
1992,WA,731234,REP
1992,WA,541780,OTHER
1992,WA,7533,LIB
1992,WA,4854,OTHER
1992,WA,2456,OTHER
1992,WA,2354,OTHER
1992,WA,2026,OTHER
1992,WA,1776,OTHER
1992,WA,515,OTHER
1996,WA,1123323,DEM
1996,WA,840712,REP
1996,WA,201003,OTHER
1996,WA,62696,OTHER
1996,WA,12522,LIB
1996,WA,6076,OTHER
1996,WA,4578,OTHER
1996,WA,2189,OTHER
1996,WA,738,OTHER
2000,WA,1247652,DEM
2000,WA,1108864,REP
2000,WA,103002,OTHER
2000,WA,13135,LIB
2000,WA,7171,OTHER
2000,WA,2927,OTHER
2000,WA,1989,OTHER
2000,WA,1729,OTHER
2000,WA,660,OTHER
2000,WA,304,OTHER
2004,WA,1510201,DEM
2004,WA,1304894,REP
2004,WA,23283,OTHER
2004,WA,11955,LIB
2004,WA,3922,OTHER
2004,WA,2974,OTHER
2004,WA,1077,OTHER
2004,WA,547,OTHER
2004,WA,231,OTHER
2008,WA,1750848,DEM
2008,WA,1229216,REP
2008,WA,29489,OTHER
2008,WA,12728,LIB
2008,WA,9432,OTHER
2008,WA,3819,OTHER
2008,WA,705,OTHER
2008,WA,641,OTHER
2012,WA,1755396,DEM
2012,WA,1290670,REP
2012,WA,42202,LIB
2012,WA,20928,OTHER
2012,WA,8851,OTHER
2012,WA,4946,OTHER
2012,WA,1318,OTHER
2012,WA,1205,OTHER
2016,WA,1742718,DEM
2016,WA,1221747,REP
2016,WA,160879,LIB
2016,WA,107805,OTHER
2016,WA,58417,OTHER
2016,WA,17623,OTHER
2016,WA,4307,OTHER
2016,WA,3523,OTHER
2020,WA,2369612,DEM
2020,WA,1584651,REP
2020,WA,80500,LIB
2020,WA,18289,OTHER
2020,WA,4840,OTHER
2020,WA,2487,OTHER
2020,WA,27252,OTHER
1976,WI,1040232,DEM
1976,WI,1004987,REP
1976,WI,34943,OTHER
1976,WI,8552,OTHER
1976,WI,4298,OTHER
1976,WI,3814,LIB
1976,WI,2430,OTHER
1976,WI,1691,OTHER
1976,WI,389,OTHER
1980,WI,1088845,REP
1980,WI,981584,DEM
1980,WI,160657,OTHER
1980,WI,29135,LIB
1980,WI,7767,OTHER
1980,WI,1519,OTHER
1980,WI,1337,OTHER
1980,WI,808,OTHER
1980,WI,772,OTHER
1980,WI,414,OTHER
1980,WI,383,OTHER
1984,WI,1198584,REP
1984,WI,995740,DEM
1984,WI,4883,LIB
1984,WI,3864,OTHER
1984,WI,3791,OTHER
1984,WI,1456,OTHER
1984,WI,1006,OTHER
1984,WI,706,OTHER
1984,WI,619,OTHER
1984,WI,596,OTHER
1984,WI,444,OTHER
1988,WI,1126794,DEM
1988,WI,1047499,REP
1988,WI,15042,OTHER
1988,WI,2273,OTHER
1992,WI,1041066,DEM
1992,WI,930855,REP
1992,WI,544479,OTHER
1992,WI,7518,OTHER
1992,WI,2877,LIB
1992,WI,1833,OTHER
1992,WI,1070,OTHER
1992,WI,961,OTHER
1992,WI,405,OTHER
1996,WI,1071971,DEM
1996,WI,845029,REP
1996,WI,227339,OTHER
1996,WI,32766,OTHER
1996,WI,8811,OTHER
1996,WI,7929,LIB
1996,WI,2324,OTHER
2000,WI,1242987,DEM
2000,WI,1237279,REP
2000,WI,94070,OTHER
2000,WI,13693,OTHER
2000,WI,6640,LIB
2000,WI,2042,OTHER
2000,WI,1896,OTHER
2004,WI,1489504,DEM
2004,WI,1478120,REP
2004,WI,17272,OTHER
2004,WI,6464,LIB
2004,WI,2986,OTHER
2004,WI,2661,OTHER
2008,WI,1677211,DEM
2008,WI,1262393,REP
2008,WI,17605,OTHER
2008,WI,8858,LIB
2008,WI,6521,OTHER
2008,WI,5072,OTHER
2008,WI,4216,OTHER
2008,WI,764,OTHER
2008,WI,540,OTHER
2008,WI,237,OTHER
2012,WI,1620985,DEM
2012,WI,1410966,REP
2012,WI,29383,OTHER
2012,WI,5170,OTHER
2012,WI,4930,OTHER
2016,WI,1405284,REP
2016,WI,1382536,DEM
2016,WI,106674,LIB
2016,WI,31072,OTHER
2016,WI,22764,OTHER
2016,WI,12386,OTHER
2016,WI,12162,OTHER
2016,WI,1770,OTHER
2016,WI,1502,OTHER
2020,WI,1630866,DEM
2020,WI,1610184,REP
2020,WI,5146,OTHER
2020,WI,38491,OTHER
2020,WI,5259,OTHER
2020,WI,25,OTHER
2020,WI,36,OTHER
2020,WI,5,OTHER
2020,WI,1089,OTHER
2020,WI,110,OTHER
2020,WI,411,OTHER
2020,WI,52,OTHER
2020,WI,6367,OTHER
1976,WV,435864,DEM
1976,WV,314726,REP
1980,WV,367462,DEM
1980,WV,334206,REP
1980,WV,31691,OTHER
1980,WV,4356,LIB
1984,WV,405483,REP
1984,WV,328125,DEM
1984,WV,996,OTHER
1984,WV,645,OTHER
1984,WV,493,OTHER
1988,WV,341016,DEM
1988,WV,310065,REP
1988,WV,2230,OTHER
1992,WV,331001,DEM
1992,WV,241974,REP
1992,WV,108829,OTHER
1992,WV,1873,LIB
1996,WV,327812,DEM
1996,WV,233946,REP
1996,WV,71639,OTHER
1996,WV,3062,LIB
2000,WV,336475,REP
2000,WV,295497,DEM
2000,WV,10680,OTHER
2000,WV,3169,OTHER
2000,WV,1912,LIB
2000,WV,367,OTHER
2000,WV,24,OTHER
2004,WV,423778,REP
2004,WV,326541,DEM
2004,WV,4063,OTHER
2004,WV,1405,LIB
2004,WV,5,OTHER
2008,WV,397466,REP
2008,WV,303857,DEM
2008,WV,7219,OTHER
2008,WV,2465,OTHER
2008,WV,2355,OTHER
2008,WV,89,OTHER
2012,WV,417655,REP
2012,WV,238269,DEM
2012,WV,6302,LIB
2012,WV,4406,OTHER
2012,WV,3806,OTHER
2016,WV,489371,REP
2016,WV,188794,DEM
2016,WV,23004,LIB
2016,WV,8075,OTHER
2016,WV,3807,OTHER
2020,WV,235984,DEM
2020,WV,545382,REP
2020,WV,10687,LIB
2020,WV,2599,OTHER
1976,WY,92717,REP
1976,WY,62239,DEM
1976,WY,1387,OTHER
1980,WY,110700,REP
1980,WY,49427,DEM
1980,WY,12072,OTHER
1980,WY,4514,LIB
1984,WY,133241,REP
1984,WY,53370,DEM
1984,WY,2357,LIB
1988,WY,106867,REP
1988,WY,67113,DEM
1988,WY,2026,LIB
1988,WY,545,OTHER
1992,WY,79347,REP
1992,WY,68160,DEM
1992,WY,51263,OTHER
1992,WY,844,LIB
1992,WY,270,OTHER
1996,WY,105388,REP
1996,WY,77934,DEM
1996,WY,25928,OTHER
1996,WY,1739,LIB
1996,WY,582,OTHER
2000,WY,147947,REP
2000,WY,60481,DEM
2000,WY,2724,OTHER
2000,WY,1443,LIB
2000,WY,720,OTHER
2000,WY,411,OTHER
2004,WY,167629,REP
2004,WY,70776,DEM
2004,WY,3372,OTHER
2004,WY,1171,LIB
2004,WY,480,OTHER
2004,WY,433,OTHER
2008,WY,164958,REP
2008,WY,82868,DEM
2008,WY,3717,OTHER
2008,WY,1594,LIB
2008,WY,1521,OTHER
2008,WY,246,OTHER
2012,WY,170962,REP
2012,WY,69286,DEM
2012,WY,5326,LIB
2012,WY,2035,OTHER
2012,WY,1452,OTHER
2012,WY,1367,OTHER
2012,WY,273,OTHER
2016,WY,174419,REP
2016,WY,55973,DEM
2016,WY,13287,LIB
2016,WY,6904,OTHER
2016,WY,3224,OTHER
2016,WY,2661,OTHER
2016,WY,2042,OTHER
2016,WY,278,OTHER
2020,WY,73491,DEM
2020,WY,193559,REP
2020,WY,5768,LIB
2020,WY,2208,OTHER
2020,WY,1739,OTHER
2020,WY,279,OTHER
2020,WY,1459,OTHER
